Employee_ID,Cluster,Job_Family,Age_Bucket,Generation,Gender,Tenure_Bucket,Grade_Bucket,Latest_Rating,No_Of_Promos,Compensation_Ratio_Bucket,Team_Change,Title_Change,Manager_Change,Total_Span,Manager_Age,Manager_Gender,Manager_Generation,Manager_Tenure_Bukcet,Manager_Total_Span,Manager_latest_Rating,Manager_Grade_Bucket,latest_Increment,Career Development,Change Management,Collaboration,Commit,Communication,Enabling Infrastructure,Ethics,Inclusion & Diversity,Leadership,Openness,People Manager,Performance,Respect,Role Clarity,Strategy & Direction,Talent & Staffing,Total Rewards,Values - Audacity,Values - Bias for Action,Values - Customer First,Work-Life Balance,NPS_Score,TSLP Bucket,Employee Status,Emp Stat
134384,CFP,Software Development Engineering,20-24 Years,Gen Z,M,1-2 Yrs,8--9,ME,0,0.9 - 1,2,0,1,0,43,M,Gen X,1-2 Yrs,10,EE,12--13,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
134385,SXP,Software Development Engineering,20-24 Years,Gen Z,M,1-2 Yrs,8--9,EE,0,0.9 - 1,3,0,2,0,31,M,Gen Y,Above 5 Yrs,6,ME,10--11,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
115461,CDO&M3,Business Quality,35-39 Years,Gen Y,M,2-3 Yrs,8--9,ME,0,0.7 - 0.8,1,0,1,0,47,M,Gen X,2-3 Yrs,8,EE,12--13,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
115502,CFP,Data Centre Operations,30-34 Years,Gen Y,M,2-3 Yrs,8--9,EE,0,0.8 - 0.9,0,0,1,0,33,M,Gen Y,Above 5 Yrs,4,ME,10--11,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
134451,Flipkart Group,Fire Safety and Security,40-44 Years,Gen X,M,1-2 Yrs,8--9,ME,0,0.9 - 1,0,0,3,0,35,M,Gen Y,3-4 Yrs,1,ME,8--9,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
128596,FSG,Product Management,25-29 Years,Gen Y,M,1-2 Yrs,10--11,OP,0,0.7 - 0.8,0,0,2,0,35,M,Gen Y,3-4 Yrs,4,EE,14--15,16.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
135022,Flipkart Wholesale,Software Development Engineering,30-34 Years,Gen Y,M,1-2 Yrs,8--9,EE,0,0.9 - 1,2,0,3,0,33,M,Gen Y,Above 5 Yrs,17,ME,12--13,8.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
136005,Flipkart Group,Fire Safety and Security,30-34 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.7 - 0.8,0,0,1,0,42,M,Gen X,Above 5 Yrs,4,ME,10--11,7.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
129353,SXP,Product Management,30-34 Years,Gen Y,F,1-2 Yrs,10--11,ME,0,0.7 - 0.8,2,0,1,0,42,M,Gen X,3-4 Yrs,3,ME,14--15,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
121284,CDO&M3,Business Development,25-29 Years,Gen Y,M,6 Months - 1 Yr,8--9,ME,0,0.7 - 0.8,1,0,1,0,36,M,Gen Y,Above 5 Yrs,1,ME,10--11,8.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
